,0
"Ответственность , добросовестность (СК) (614_4)",208.0
Стрессоустойчивость (СК) (601_4),198.0
Составление и контроль графика приема пациентов (2186_33),187.0
Пунктуальность (СК) (612_4),132.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",131.0
Консультирование по медицинским услугам (2185_33),105.0
Клиентоцентричность (клиенториентированность) (СК) (626_4),103.0
Внимательность (СК) (536_4),89.0
Командность (СК) (1371_4),69.0
Вежливость (СК) (581_4),55.0
"Организаторские способности, лидерство (СК) (393_4)",54.0
Исходящие звонки (3581_33),17.0
Английский язык (ЯС) (1918_32),15.0
