,0
Стрессоустойчивость (СК) (601_4),369.0
"Ответственность , добросовестность (СК) (614_4)",356.0
Составление и контроль графика приема пациентов (2186_33),346.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",217.0
Пунктуальность (СК) (612_4),164.0
Консультирование по медицинским услугам (2185_33),156.0
Внимательность (СК) (536_4),151.0
Вежливость (СК) (581_4),141.0
Клиентоцентричность (клиенториентированность) (СК) (626_4),115.0
Командность (СК) (1371_4),97.0
"Организаторские способности, лидерство (СК) (393_4)",33.0
Исходящие звонки (3581_33),30.0
Английский язык (ЯС) (1918_32),3.0
