,0
"Ответственность , добросовестность (СК) (614_4)",38.0
Стрессоустойчивость (СК) (601_4),30.0
Пунктуальность (СК) (612_4),24.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",17.0
Составление и контроль графика приема пациентов (2186_33),17.0
Консультирование по медицинским услугам (2185_33),14.0
Внимательность (СК) (536_4),13.0
Командность (СК) (1371_4),12.0
Вежливость (СК) (581_4),7.0
Клиентоцентричность (клиенториентированность) (СК) (626_4),7.0
"Организаторские способности, лидерство (СК) (393_4)",5.0
Исходящие звонки (3581_33),4.0
Английский язык (ЯС) (1918_32),0.0
