,0
"Ответственность , добросовестность (СК) (614_4)",585.0
Дисциплинированность (СК) (593_4),381.0
Коммуникабельность (СК) (617_4),283.0
"Личные установки и ценности, мировоззрение (2043_4)",264.0
Командность (СК) (1371_4),86.0
"Определение объема и форм социальной помощи, методов и технологий социальной работы (407_1)",78.0
Предоставление социальных услуг (183_1),78.0
"Саморазвитие, обучаемость (СК) (604_4)",68.0
Внимательность (СК) (536_4),39.0
Работа с информацией (356_1),35.0
Грамотность (СК) (1368_4),18.0
Содействие в консультировании по вопросам социальной защиты (277_1),11.0
