,0
"Ответственность , добросовестность (СК) (614_4)",679.0
"Личные установки и ценности, мировоззрение (2043_4)",664.0
Чтение схем/чертежей (ОПТ) (3032_36),622.0
Внимательность (СК) (536_4),562.0
Использование контрольно-измерительных инструментов (3479_35),423.0
Контроль качества продукции (4221_35),402.0
Проводить входной контроль (4569_35),397.0
Контроль качества изделий (3466_35),382.0
Дисциплинированность (СК) (593_4),311.0
Аккуратность (СК) (575_4),207.0
Знание компьютерных программ (3753_35),202.0
"Саморазвитие, обучаемость (СК) (604_4)",198.0
"Контроль качества материалов, полуфабрикатов и комплектующих (4599_35)",197.0
Проведение пооперационного и межоперационного контроля (4570_35),183.0
Сверка параметров продукции с эталоном или документацией (4818_35),166.0
"Оформление сопроводительной документации по качеству, протоколов, сертификатов (4559_35)",148.0
Коммуникабельность (СК) (617_4),147.0
"Организаторские способности, лидерство (СК) (393_4)",146.0
Контроль и приемка продукции (4586_35),137.0
Знание нормативной и методической документации (4566_35),135.0
Умение читать конструкторскую и технологическую документацию (3439_35),122.0
Командность (СК) (1371_4),88.0
Организация работы по повышению качества продукции (4671_35),67.0
Проведение визуально-измерительного контроля (4677_35),39.0
Руководство работниками службы качества (4619_35),8.0
