is_vahta,experience_id,region_name,industry_group,is_parttime,min_salary,max_salary,Пунктуальность (СК) (612_4),Коммуникабельность (СК) (617_4),"Личные установки и ценности, мировоззрение (2043_4)","Организаторские способности, лидерство (СК) (393_4)",Информирование и консультирование клиентов/заказчиков (2498_33),"Ответственность , добросовестность (СК) (614_4)",Ведение записи клиентов с распределением нагрузки на специалистов (2242_33),"Саморазвитие, обучаемость (СК) (604_4)",Аккуратность (СК) (575_4),Стрессоустойчивость (СК) (601_4),Доброжелательность (СК) (1126_4),"Ведение расчетно-кассовых операций и кассовой документации, работа с кассой (2057_33)",Грамотность (СК) (1368_4),Активность (СК) (576_4),"Восприятие, мышление, внимание, память (УСК) (1330_4)","Многозадачность, интенсивность (СК) (627_4)",Английский язык (ЯС) (1918_32),"Консультирование клиентов/покупателей по ассортименту, продукции, товарам, услугам (2970_33)","Знание ПК, различных операционных систем, офисных программ (2286_33)",Вежливость (СК) (581_4),"Координация деятельности офиса, руководства и сотрудников (3352_33)",Прием посетителей (1971_33),Целеустремленность (СК) (588_4),Командность (СК) (1371_4),"Ведение базы данных клиентов, CRM (2472_33)","Обеспечение выполнения планов, достижения показателей, роста KPI-показателей (2204_33)",Ведение отчетности и разработка регламентов (2239_33),Внимательность (СК) (536_4),Дисциплинированность (СК) (593_4),"Организация и обеспечение эффективного обслуживания покупателей: координация процессов обслуживания покупателей, контроль и повышение качества (2195_33)"
False,0.0,Город федерального значения Санкт-Петербург,0,False,15000.0,65000.0,6331.7321,5204.1633,3851.0809,3556.1783,3521.4839,3243.9285,3035.7619,3018.4147,2931.6787,2758.2066,2289.8319,2151.0542,1994.9293,1786.7627,1752.0683,1682.6795,1387.7769,1387.7769,1301.0408,1248.9992,1214.3048,1179.6104,1179.6104,1144.9159,1040.8327,1006.1382,988.791,954.0966,936.7494,919.4022
False,0.0,Город федерального значения Санкт-Петербург,0,True,20000.0,45000.0,4383.5068,3602.8823,2666.1329,2461.9696,2437.9504,2245.7966,2101.6813,2089.6717,2029.6237,1909.5276,1585.2682,1489.1914,1381.1049,1236.9896,1212.9704,1164.9319,960.7686,960.7686,900.7206,864.6918,840.6725,816.6533,816.6533,792.6341,720.5765,696.5572,684.5476,660.5284,648.5188,636.5092
False,0.0,Свердловская область,0,False,6000.0,100000.0,9741.1262,8006.4051,5924.7398,5471.0435,5417.6675,4990.6592,4670.403,4643.715,4510.2749,4243.3947,3522.8183,3309.3141,3069.122,2748.8658,2695.4897,2588.7377,2135.0414,2135.0414,2001.6013,1921.5372,1868.1612,1814.7852,1814.7852,1761.4091,1601.281,1547.905,1521.217,1467.8409,1441.1529,1414.4649
False,0.0,Свердловская область,0,True,15000.0,40000.0,3896.4505,3202.562,2369.8959,2188.4174,2167.067,1996.2637,1868.1612,1857.486,1804.11,1697.3579,1409.1273,1323.7256,1227.6488,1099.5463,1078.1959,1035.4951,854.0165,854.0165,800.6405,768.6149,747.2645,725.9141,725.9141,704.5637,640.5124,619.162,608.4868,587.1364,576.4612,565.786
False,0.0,Ростовская область,0,False,20000.0,40000.0,3896.4505,3202.562,2369.8959,2188.4174,2167.067,1996.2637,1868.1612,1857.486,1804.11,1697.3579,1409.1273,1323.7256,1227.6488,1099.5463,1078.1959,1035.4951,854.0165,854.0165,800.6405,768.6149,747.2645,725.9141,725.9141,704.5637,640.5124,619.162,608.4868,587.1364,576.4612,565.786
False,0.0,Ростовская область,0,True,35000.0,35000.0,3409.3942,2802.2418,2073.6589,1914.8652,1896.1836,1746.7307,1634.641,1625.3002,1578.5962,1485.1882,1232.9864,1158.2599,1074.1927,962.103,943.4214,906.0582,747.2645,747.2645,700.5604,672.538,653.8564,635.1748,635.1748,616.4932,560.4484,541.7667,532.4259,513.7443,504.4035,495.0627
False,0.0,Город федерального значения Москва,0,False,2000.0,85000.0,8279.9573,6805.4444,5036.0288,4650.387,4605.0173,4242.0603,3969.8425,3947.1577,3833.7337,3606.8855,2994.3955,2812.917,2608.7537,2336.5359,2291.1663,2200.427,1814.7852,1814.7852,1701.3611,1633.3066,1587.937,1542.5674,1542.5674,1497.1978,1361.0889,1315.7192,1293.0344,1247.6648,1224.98,1202.2952
False,0.0,Город федерального значения Москва,0,True,15000.0,50000.0,4870.5631,4003.2026,2962.3699,2735.5218,2708.8337,2495.3296,2335.2015,2321.8575,2255.1374,2121.6974,1761.4091,1654.6571,1534.561,1374.4329,1347.7449,1294.3688,1067.5207,1067.5207,1000.8006,960.7686,934.0806,907.3926,907.3926,880.7046,800.6405,773.9525,760.6085,733.9205,720.5765,707.2325
False,0.0,Новосибирская область,0,False,20000.0,55000.0,5357.6194,4403.5228,3258.6069,3009.0739,2979.7171,2744.8626,2568.7216,2554.0432,2480.6512,2333.8671,1937.55,1820.1228,1688.0171,1511.8762,1482.5193,1423.8057,1174.2728,1174.2728,1100.8807,1056.8455,1027.4887,998.1318,998.1318,968.775,880.7046,851.3477,836.6693,807.3125,792.6341,777.9557
False,0.0,Новосибирская область,0,True,23000.0,23000.0,2240.459,1841.4732,1362.6902,1258.34,1246.0635,1147.8516,1074.1927,1068.0544,1037.3632,975.9808,810.2482,761.1422,705.8981,632.2391,619.9626,595.4097,491.0595,491.0595,460.3683,441.9536,429.6771,417.4006,417.4006,405.1241,368.2946,356.0181,349.8799,337.6034,331.4652,325.3269
False,0.0,Республика Башкортостан,0,False,15000.0,50000.0,4870.5631,4003.2026,2962.3699,2735.5218,2708.8337,2495.3296,2335.2015,2321.8575,2255.1374,2121.6974,1761.4091,1654.6571,1534.561,1374.4329,1347.7449,1294.3688,1067.5207,1067.5207,1000.8006,960.7686,934.0806,907.3926,907.3926,880.7046,800.6405,773.9525,760.6085,733.9205,720.5765,707.2325
False,0.0,Республика Башкортостан,0,True,20000.0,25000.0,2435.2816,2001.6013,1481.1849,1367.7609,1354.4169,1247.6648,1167.6007,1160.9287,1127.5687,1060.8487,880.7046,827.3285,767.2805,687.2164,673.8724,647.1844,533.7603,533.7603,500.4003,480.3843,467.0403,453.6963,453.6963,440.3523,400.3203,386.9762,380.3042,366.9602,360.2882,353.6162
False,0.0,Московская область,2,False,20000.0,70000.0,6818.7884,5604.4836,4147.3179,3829.7305,3792.3672,3493.4614,3269.2821,3250.6005,3157.1924,2970.3763,2465.9728,2316.5199,2148.3854,1924.206,1886.8428,1812.1164,1494.529,1494.529,1401.1209,1345.0761,1307.7128,1270.3496,1270.3496,1232.9864,1120.8967,1083.5335,1064.8519,1027.4887,1008.807,990.1254
False,0.0,Московская область,2,True,20000.0,40000.0,3896.4505,3202.562,2369.8959,2188.4174,2167.067,1996.2637,1868.1612,1857.486,1804.11,1697.3579,1409.1273,1323.7256,1227.6488,1099.5463,1078.1959,1035.4951,854.0165,854.0165,800.6405,768.6149,747.2645,725.9141,725.9141,704.5637,640.5124,619.162,608.4868,587.1364,576.4612,565.786
False,0.0,Челябинская область,0,False,14000.0,40000.0,3896.4505,3202.562,2369.8959,2188.4174,2167.067,1996.2637,1868.1612,1857.486,1804.11,1697.3579,1409.1273,1323.7256,1227.6488,1099.5463,1078.1959,1035.4951,854.0165,854.0165,800.6405,768.6149,747.2645,725.9141,725.9141,704.5637,640.5124,619.162,608.4868,587.1364,576.4612,565.786
False,0.0,Челябинская область,0,True,15000.0,23000.0,2240.459,1841.4732,1362.6902,1258.34,1246.0635,1147.8516,1074.1927,1068.0544,1037.3632,975.9808,810.2482,761.1422,705.8981,632.2391,619.9626,595.4097,491.0595,491.0595,460.3683,441.9536,429.6771,417.4006,417.4006,405.1241,368.2946,356.0181,349.8799,337.6034,331.4652,325.3269
False,0.0,Воронежская область,2,False,15000.0,40000.0,3896.4505,3202.562,2369.8959,2188.4174,2167.067,1996.2637,1868.1612,1857.486,1804.11,1697.3579,1409.1273,1323.7256,1227.6488,1099.5463,1078.1959,1035.4951,854.0165,854.0165,800.6405,768.6149,747.2645,725.9141,725.9141,704.5637,640.5124,619.162,608.4868,587.1364,576.4612,565.786
False,0.0,Воронежская область,2,True,20000.0,30000.0,2922.3379,2401.9215,1777.4219,1641.3131,1625.3002,1497.1978,1401.1209,1393.1145,1353.0825,1273.0184,1056.8455,992.7942,920.7366,824.6597,808.6469,776.6213,640.5124,640.5124,600.4804,576.4612,560.4484,544.4355,544.4355,528.4227,480.3843,464.3715,456.3651,440.3523,432.3459,424.3395
