,0
"Ответственность , добросовестность (СК) (614_4)",2122.0
Дисциплинированность (СК) (593_4),1373.0
Осмотр животных и диагностивание болезней (4248_14),979.0
"Личные установки и ценности, мировоззрение (2043_4)",974.0
Проведение диагностических исследований (4354_14),830.0
Проведение профилактических мероприятий по предупреждению заболеваний животных и падежа (4253_14),669.0
Осуществлять исследование причин возникновения процессов протекания болезней животных (4474_14),538.0
Коммуникабельность (СК) (617_4),519.0
Командность (СК) (1371_4),422.0
Подготовка и проведение профилактических ветеринарно-санитарных и оздоровительных мероприятий (4357_14),380.0
Организация и проведение ветеринарных мероприятий (4359_14),350.0
Оказание платных ветеринарных услуг (4470_14),348.0
"Саморазвитие, обучаемость (СК) (604_4)",333.0
Пунктуальность (СК) (612_4),330.0
Соблюдение правил внутреннего распорядка и режима работы (4476_14),307.0
Принципы лечения и профилактики болезней (4254_14),260.0
Консультирование по вопросам лечения животных (4244_14),226.0
Склонность к здоровому образу жизни (СК) (1662_4),161.0
Лечение скота и птицы (4350_14),154.0
Методы лечения животных (4352_14),129.0
Аккуратность (СК) (575_4),128.0
проведение противоэпизоотических мероприятий (4459_14),112.0
Проведение хирургических операций (4557_14),97.0
Повышение продуктивности скота и птицы (4490_14),88.0
Вакцинация животных (4396_14),85.0
Стрессоустойчивость (СК) (601_4),84.0
Клинические обследования животных (4936_14),72.0
Умение работать с клиентами (4722_14),58.0
Контроль процессов (6210_14),45.0
Поддержание чистоты в помещениях ветеринарной клиники (142_14),37.0
Ассистирование (4464_14),37.0
Продажа ветеринарных препаратов (4489_14),32.0
Помощь врачу на приеме (4400_14),27.0
Использование диагностического оборудования: рентген (4554_14),17.0
"Контроль, проверка лечения пациентов (5974_14)",7.0
