,0
Техносферная безопасность (1378_1),66.0
"Личные установки и ценности, мировоззрение (2043_4)",60.0
"Организаторские способности, лидерство (СК) (393_4)",56.0
Участие в расследовании несчастных случаев и профессиональных заболеваний (285_1),36.0
Организация и контроль обеспечения безопасных условий и охраны труда (347_1),26.0
Проведение и оформление инструктажей по охране труда (284_1),26.0
Работа с предписаниями органов надзорного контроля (353_1),24.0
"Ответственность , добросовестность (СК) (614_4)",23.0
Коммуникабельность (СК) (617_4),23.0
"Организация, координация и ведение работ по охране труда (342_1)",23.0
Обеспечение создания и функционирования управления системой охраны труда (344_1),20.0
Законы и иные нормативно-правовые акты в сфере охраны труда (337_1),18.0
"Обеспечение работников СИЗ, спецодеждой и специальной обувью: контроль, выдача, применение, ремонт (343_1)",18.0
"Оформление и выдача актов проверок, предписаний (570_1)",17.0
"Организация и проведение профилактических работ по предупреждению производственного травматизма, профессиональных заболеваний (289_1)",15.0
"Планирование, организация и проведение обучения и аттестации работников в области охраны труда (287_1)",15.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),15.0
Взаимодействие с органами государственного надзора в части ОТ (359_1),14.0
Контроль за соблюдением требований по охране труда и иных (349_1),12.0
Организация и контроль проведения медицинских осмотров (332_1),5.0
Командность (СК) (1371_4),4.0
Дисциплинированность (СК) (593_4),4.0
"Участие в расследовании производственного травматизма, аварий, инцидентов (670_1)",3.0
Проведение СОУТ (327_1),3.0
Пунктуальность (СК) (612_4),2.0
Внимательность (СК) (536_4),2.0
Аккуратность (СК) (575_4),0.0
Амбициозность (СК) (1367_4).1,0.0
"Дальновидность, стратегическое мышление, рассудительность (СК) (590_4).1",0.0
