,0
"Личные установки и ценности, мировоззрение (2043_4)",633.0
Коммуникабельность (СК) (617_4),558.0
Пользователь ПК (922_8),448.0
"Ответственность , добросовестность (СК) (614_4)",397.0
Консультирование по экономическим и финансовым вопросам (3238_8),349.0
Заключение договоров с контрагентами (1212_8),338.0
"Саморазвитие, обучаемость (СК) (604_4)",296.0
Внимательность (СК) (536_4),287.0
Стрессоустойчивость (СК) (601_4),254.0
Продажа страховых продуктов (6818_8),236.0
Целеустремленность (СК) (588_4),223.0
Знание 1С (2742_8),193.0
Работа с покупателями и клиентами (4062_8),186.0
Расчет стоимости страхового полиса/премии (6796_8),178.0
Дисциплинированность (СК) (593_4),153.0
Пролонгация договоров страхования (6659_8),151.0
"Умение  вести переписку, деловые переговоры, коммуницировать (1320_8)",141.0
(О) Работа с документами (кроме первичных) (1601_8),137.0
Высокая работоспособность (СК) (586_4),134.0
Клиентоцентричность (клиенториентированность) (СК) (626_4),131.0
Консультирование по вопросам страхования (6668_8),123.0
Активность (СК) (576_4),121.0
"Заключение, пролонгация, оформление договоров ОСАГО (6673_8)",112.0
Заключение новых договоров страхования (6657_8),109.0
Пунктуальность (СК) (612_4),98.0
Доброжелательность (СК) (1126_4),93.0
Консультирование по кредитным продуктам (6873_8),89.0
Поддержка и работа с клиентами (6891_8),84.0
(О) Взаимодействие с банками (856_8),76.0
Инициативность (СК) (610_4),74.0
Формирование и ведение базы клиентов (6893_8),68.0
Поиск клиентов для заключение договора страхования (6806_8),67.0
анализ выполнения плана (3431_8),64.0
"Приобретение, ремонт, продажа автомобилей (7130_8)",46.0
Выполнение продаж (6841_8),44.0
Знание работы с компьютером (925_8),44.0
Обзвон клиентов (6852_8),43.0
Подготовка отчетности (3398_8),43.0
Консультирование по программе автострахования (6844_8),33.0
Ведение отчетности по договорам страхования (6670_8),32.0
Нравственность (СК) (622_4),31.0
Ведение документооборота страхования (6820_8),27.0
Составление/формирование/подготовка отчетности (ОПТ) (3911_36),24.0
"Страхование: заключение договора страхования, ведение учета по договорам страхования (3626_8)",21.0
"Дальновидность, стратегическое мышление, рассудительность (СК) (590_4)",11.0
Передача полисов клиентам (6931_8),7.0
"Проектирование инвестиций: политика, программа, проект, бюджет (3243_8)",0.0
