,0
"Ответственность , добросовестность (СК) (614_4)",331.0
Дисциплинированность (СК) (593_4),206.0
"Личные установки и ценности, мировоззрение (2043_4)",119.0
Оказание лечебной помощи животным (200_14),110.0
Осмотр животных и диагностивание болезней (4248_14),103.0
Коммуникабельность (СК) (617_4),102.0
Соблюдение правил внутреннего распорядка и режима работы (4476_14),88.0
Пунктуальность (СК) (612_4),53.0
оказание лечебно-профилактической и санитарно-профилактической помощи (4258_14),51.0
Проведение профилактических мероприятий по предупреждению заболеваний животных и падежа (4253_14),49.0
Оказание платных ветеринарных услуг (4470_14),41.0
Склонность к здоровому образу жизни (СК) (1662_4),35.0
